MetricID,MetricName,Definition,Unit,Direction,Category,OwnerOrg,CalcMethod,CalcFormula,Frequency,FreqValidatinon,BaselineRequired,LifecyclePhase,Notes,,,,,,,,,,,,
MET-0351,Financial metrics,Assessment of pension fund health,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0352,Enrollment accuracy rate,Measure the accuracy of benefit enrollments,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0353,Enrollment processing time,Measure the time taken to process enrollments,Days,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0354,Employee participation rate,Measure the participation rate in benefit programs,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0355,Accuracy metrics,Assessment of enrollment accuracy,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0356,Efficiency metrics,Assessment of enrollment processing efficiency,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0357,Engagement metrics,Assessment of employee engagement with benefits,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0358,Performance goal alignment,Measure the alignment of individual goals with organizational objectives,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0359,Goal achievement rate,Measure the percentage of performance goals achieved,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0360,Performance review completion rate,Measure the completion rate of performance reviews,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0361,High performer retention rate,Measure the retention rate of high-performing employees,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0362,Productivity improvement rate,Measure the rate of productivity improvement linked to performance management,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0363,Alignment metrics,Assessment of goal alignment,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0364,Achievement metrics,Assessment of goal achievement,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0365,Compliance metrics with reviews,Assessment of review completion compliance,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0366,Retention metrics,Assessment of high performer retention,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0367,Productivity metrics,Assessment of productivity improvements,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0368,Competency gap reduction,Measure the reduction in competency gaps,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0369,Skill acquisition rate,Measure the rate at which employees acquire new skills,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0370,Training ROI,Measure the return on investment for training programs,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0371,Career progression rate,Measure the rate of employee career progression,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0372,Competency metrics,Assessment of competency gap reduction,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0373,Skill metrics,Assessment of skill acquisition,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0374,ROI metrics,Assessment of training ROI,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0375,Progression metrics,Assessment of career progression,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0376,Recognition program participation,Measure participation in recognition programs,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0377,Employee morale score,Measure employee morale through surveys,Index,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0378,Recognition impact score,Measure the impact of recognition on performance,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0379,Participation metrics,Assessment of recognition program participation,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0380,Morale metrics,Assessment of employee morale,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0381,Impact metrics,Assessment of recognition impact,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0382,Training satisfaction score,Measure employee satisfaction with training programs,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0383,Skill application rate,Measure the rate at which training is applied on the job,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0384,Training cost per employee,Measure the cost of training per employee,Currency,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0385,Satisfaction metrics,Assessment of training satisfaction,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0386,Application metrics,Assessment of skill application,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0387,Cost metrics,Assessment of training costs,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0388,Training access rate,Measure the percentage of employees with access to training,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0389,Compliance training completion,Measure the completion rate of mandatory compliance training,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0390,Access metrics,Assessment of training accessibility,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0391,Compliance metrics,Assessment of compliance training completion,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0392,Training delivery time,Measure the time taken to deliver training programs,Days,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0393,Instructor quality score,Measure the quality of instructors through feedback,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0394,Efficiency metrics,Assessment of training delivery efficiency,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0395,Quality metrics,Assessment of instructor quality,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0396,Certification renewal rate,Measure the rate of certification renewals,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0397,Compliance metrics with certification,Assessment of certification compliance,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0398,Skill gap metrics,Assessment of skill gaps addressed by certification,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0399,Language proficiency rate,Measure the percentage of employees meeting language requirements,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0400,Training effectiveness score,Measure the effectiveness of language training,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0401,Proficiency metrics,Assessment of language proficiency,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0402,Effectiveness metrics,Assessment of language training effectiveness,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0403,Accommodation request resolution time,Measure the time taken to resolve accommodation requests,Days,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0404,Accommodation satisfaction score,Measure employee satisfaction with accommodations,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0405,Accessibility compliance rate,Measure compliance with accessibility standards,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0406,Resolution metrics,Assessment of accommodation resolution efficiency,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0407,Satisfaction metrics,Assessment of accommodation satisfaction,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0408,Compliance metrics with accessibility,Assessment of accessibility compliance,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0409,Wellness program ROI,Measure the return on investment for wellness programs,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0410,Employee health index,Measure overall employee health through surveys,Index,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0411,Absenteeism reduction rate,Measure the reduction in absenteeism due to wellness programs,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0412,Engagement metrics,Assessment of wellness program engagement,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0413,Health metrics,Assessment of employee health,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0414,Productivity metrics,Assessment of productivity improvements from wellness,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0415,Psychological safety score,Measure psychological safety through surveys,Index,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0416,Mental health incident rate,Measure the rate of mental health incidents,Number,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0417,Support utilization rate,Measure the utilization of mental health support services,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0418,Safety metrics,Assessment of psychological safety,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0419,Incident metrics,Assessment of mental health incidents,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0420,Support metrics,Assessment of mental health support utilization,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0421,Incident reduction rate,Measure the reduction in workplace incidents,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0422,Safety compliance rate,Measure compliance with safety regulations,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0423,Training completion rate,Measure completion of safety training,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0424,Safety metrics,Assessment of workplace safety,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0425,Compliance metrics,Assessment of safety compliance,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0426,Training metrics,Assessment of safety training effectiveness,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0427,Incident response time,Measure the time taken to respond to incidents,Days,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0428,Investigation completion rate,Measure the completion rate of incident investigations,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0429,Preventive action implementation,Measure the implementation of preventive actions,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0430,Response metrics,Assessment of incident response efficiency,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0431,Investigation metrics,Assessment of investigation thoroughness,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0432,Prevention metrics,Assessment of preventive action effectiveness,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0433,Inspection compliance rate,Measure compliance with inspection schedules,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0434,Hazard identification rate,Measure the rate of hazards identified during inspections,Number,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0435,Correction rate,Measure the rate of correcting identified hazards,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0436,Inspection metrics,Assessment of inspection compliance,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0437,Hazard metrics,Assessment of hazard identification,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0438,Correction metrics,Assessment of hazard correction,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0439,Values alignment score,Measure the alignment of employee behavior with core values,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0440,Ethics violation rate,Measure the rate of ethics violations,Number,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0441,Training completion rate,Measure completion of ethics training,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0442,Alignment metrics,Assessment of values alignment,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0443,Ethics metrics,Assessment of ethical behavior,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0444,Training metrics,Assessment of ethics training completion,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0445,Conflict resolution rate,Measure the rate of conflicts resolved through ADR,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0446,Employee satisfaction with ADR,Measure employee satisfaction with the ADR process,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0447,Resolution time,Measure the time taken to resolve conflicts,Days,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0448,Resolution metrics,Assessment of conflict resolution effectiveness,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0449,Satisfaction metrics,Assessment of satisfaction with ADR,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0450,Efficiency metrics,Assessment of resolution efficiency,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0451,Conduct violation rate,Measure the rate of conduct violations,Number,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0452,Disciplinary action rate,Measure the rate of disciplinary actions taken,Number,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0453,Recidivism rate,Measure the rate of repeat violations,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0454,Conduct metrics,Assessment of employee conduct,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0455,Discipline metrics,Assessment of disciplinary action effectiveness,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0456,Recidivism metrics,Assessment of behavior improvement,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0457,Harassment incident rate,Measure the rate of harassment incidents reported,Number,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0458,Investigation timeliness,Measure the timeliness of harassment investigations,Days,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0459,Workplace culture score,Measure workplace culture related to harassment,Index,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0460,Harassment metrics,Assessment of harassment incidents,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0461,Investigation metrics,Assessment of investigation timeliness,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0462,Culture metrics,Assessment of workplace culture,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0463,Diversity representation,Measure the representation of diverse groups in the workforce,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0464,Inclusion score,Measure employee perception of inclusion,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0465,Diversity promotion rate,Measure the promotion rate of diverse employees,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0466,Diversity metrics,Assessment of workforce diversity,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0467,Inclusion metrics,Assessment of workplace inclusion,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0468,Promotion metrics,Assessment of career advancement for diverse groups,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0469,Employment equity compliance,Measure compliance with employment equity goals,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0470,Equity plan progress,Measure progress towards employment equity plans,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0471,Gap reduction rate,Measure the reduction in representation gaps,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0472,Equity metrics,Assessment of employment equity compliance,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0473,Progress metrics,Assessment of equity plan progress,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0474,Gap metrics,Assessment of gap reduction,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0475,Cultural awareness score,Measure employee cultural awareness through surveys,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0476,Event participation rate,Measure participation in cultural events,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0477,Inclusion index,Measure overall inclusion index related to culture,Index,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0478,Awareness metrics,Assessment of cultural awareness,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0479,Participation metrics,Assessment of event participation,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0480,Inclusion metrics,Assessment of cultural inclusion,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0481,Identity clarity score,Measure employee understanding of organizational identity,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0482,Engagement with culture,Measure employee engagement with organizational culture,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
